state_id,basin,n_cells_total,n_real,n_synth,augmentation_factor,top_vangalen_type,top_vangalen_frac,top_atlas_type,malignant_frac,n_patients,is_rare_state,top_atlas_frac,centroid_phi,centroid_score_norm,basin_depth,width_logdet,D_trace_mean,MFPT_to_mature_monocyte,MFPT_to_primitive_blast,committor_to_mature_monocyte,committor_to_primitive_blast,censored_frac,inherited_from_basin_mean,n_patients_longitudinal,persistence_log2_PR_median,persistence_frac_enriched,top10_overlap,spearman_top10,top5_markers,best_pathway_library,best_pathway_term,best_pathway_adj_p,best_pathway_overlap,lsc_subtype_dominant,lsc_subtype_phase_tag,reproduces,broad_reproduces,enrichment_sig,top_scoring_atlas_ct,enrichment_p,confidence_tier,logrank_p,logrank_q,HR_per_SD,HR_CI_low,HR_CI_high,cox_p,cox_q,delta_C_index,independent,top3_drugs,beataml_top_sensitizer,beataml_rho,beataml_q
A0_L1_4,A0,133,133,0,1.0,cDC-like,0.301,HSPC,0.602,17,False,0.466,-20.129,24.338,7.647,-34.807,12.802,17.44,30.0,0.518,0.003,0.927,False,9.0,-0.9674,0.222,10.0,0.867,"STMN1,PCLAF,DUT,TUBB,H2AFZ",MSigDB_Hallmark_2020,E2F Targets,4.3200375945814114e-16,14/200,,,False,True,True,ProMono,0.0,HIGH,0.3890924163541511,0.7442515108323873,1.115,0.899,1.382,0.3212162928649466,0.9566288647243548,0.0044,False,"Birinapant,PH-797804,Ralimetinib (LY2228820)",SB-203580,-0.3712,0.0124541523673589
A0_L1_9,A0,131,131,0,1.0,ProMono-like,0.321,GMP,0.565,15,False,0.389,-23.155,26.546,4.621,-5.034,12.289,15.31,30.0,0.65,0.0,0.843,False,7.0,-1.0595,0.143,10.0,1.0,"SRGN,ELANE,RNASE2,LYZ,CTSG",Reactome_2022,Neutrophil Degranulation R-HSA-6798695,6.86355683318472e-15,17/468,,,True,True,True,ProMono,0.0,HIGH,0.326458215008103,0.7442515108323873,1.097,0.897,1.341,0.3687564393052474,0.9566288647243548,0.0059,False,"Venetoclax,GSK-2879552,RLM-2-12",Perhexiline maleate,-0.3803,0.1595157132628466
A2_L1_12,A2,113,113,0,1.0,earlyEry,0.265,,0.389,17,False,0.407,-17.106,27.878,-4.709,-50.976,16.41,30.0,30.0,0.454,0.003,0.97,False,8.0,0.0436499999999999,0.5,9.0,0.883,"GATA2,SOX4,CPA3,PLEK,CDK6",Reactome_2022,Signaling By Interleukins R-HSA-449147,0.0006284890918455,7/453,,,False,True,True,MEP,0.0,HIGH,0.1040562453188522,0.6688663283741271,0.897,0.729,1.105,0.3069488442315493,0.9566288647243548,0.003,False,"Ranolazine,AT-101,Birinapant",JNK Inhibitor II,-0.2114,0.2828326975488623
A2_L1_9,A2,109,109,0,1.0,GMP-like,0.413,GMP,0.56,16,False,0.376,-22.272,25.455,-9.874,-22.761,11.908,17.57,30.0,0.433,0.002,0.911,False,9.0,-2.0068,0.333,9.0,0.85,"ELANE,AZU1,CALR,LRRC75A-AS1,SRGN",Reactome_2022,ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033,7.97291195371785e-06,3/11,,,False,True,True,CMP,0.0,HIGH,0.2083992150884412,0.7442515108323873,0.982,0.793,1.217,0.8694536630438903,0.9719400717263436,-0.0015,False,"Perhexiline maleate,Panobinostat,RAF265 (CHIR-265)",Metformin,-0.2082,0.5052785611459352
A3_L1_13,A3,96,96,0,1.0,lateEry,1.0,,0.0,13,False,0.76,-19.686,32.229,-9.767,-19.298,13.269,18.59,30.0,0.422,0.006,0.966,False,10.0,1.44955,0.8,10.0,1.0,"HBB,HBA2,HBA1,HBD,AHSP",MSigDB_Hallmark_2020,heme Metabolism,1.0358832745030281e-42,28/200,,,True,True,True,Erythroid,0.0,HIGH,0.3038714106659479,0.7442515108323873,0.891,0.716,1.109,0.3016372383180461,0.9566288647243548,0.0036,False,"PH-797804,17-AAG (Tanespimycin),Metformin",XMD 8-87,-0.2983,0.2543683120103664
A3_L1_9,A3,86,86,0,1.0,GMP-like,0.407,GMP,0.523,15,False,0.43,-22.66,26.205,-12.74,-19.569,11.556,18.7,30.0,0.472,0.001,0.935,False,7.0,-0.3284,0.143,10.0,0.903,"ELANE,NUCB2,MPO,SRGN,CALR",Reactome_2022,Neutrophil Degranulation R-HSA-6798695,1.680714476753469e-07,11/468,,,False,True,True,CMP,0.0,HIGH,0.3701208881525943,0.7442515108323873,1.069,0.864,1.323,0.5383372451784558,0.9566288647243548,0.0053,False,"LY294002,NVP-AEW541,Selinexor",XMD 8-87,-0.2177,0.4702336809013899
A1_L1_2,A1,79,79,0,1.0,ProMono-like,0.19,HSPC,0.595,18,False,0.304,-15.381,28.17,14.104,-79.833,14.925,14.1,30.0,0.505,0.012,0.921,False,10.0,-0.27985,0.3,10.0,0.952,"LYZ,SRGN,CFD,S100A9,TYROBP",Reactome_2022,Neutrophil Degranulation R-HSA-6798695,1.1232394297580702e-17,19/468,,,False,True,True,CD16+ Mono,0.0,HIGH,0.083303457437197,0.6688663283741271,1.094,0.895,1.337,0.3798387331251527,0.9566288647243548,0.0002,False,"XMD 8-87,Ralimetinib (LY2228820),BRD-A36275421",Metformin,-0.3854,0.1123380715064262
A0_L1_13,A0,75,75,0,1.0,lateEry,0.427,,0.027,10,False,0.893,-17.39,27.777,10.386,-49.987,15.225,16.74,30.0,0.509,0.0,0.913,False,8.0,1.08315,0.625,8.0,0.929,"HBB,HBA2,HBG2,HBD,HBG1",MSigDB_Hallmark_2020,heme Metabolism,4.3200375945814114e-16,14/200,,,True,True,True,Erythroid,0.0,HIGH,0.4199612715177102,0.7442515108323873,0.903,0.719,1.134,0.3790410078889416,0.9566288647243548,0.0071,False,"17-AAG (Tanespimycin),Baiclein,AT7519",Ranolazine,-0.2058,0.5010937437887958
A1_basin_edge_3,A1,72,12,60,6.0,B,1.0,B,0.0,6,True,0.583,-20.623444444444445,26.49527777777778,8.860944444444446,-38.95433333333333,12.865388888888887,19.265555555555554,30.0,0.3284444444444444,0.004,0.8219444444444445,True,3.0,-0.2439,0.333,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"GSK-2334470,blebbistatin,M2-PK-activator",,,
A2_L1_7,A2,66,66,0,1.0,earlyEry,0.818,Erythroid,0.03,14,False,0.5,-19.845,31.058,-7.447,-22.786,13.991,30.0,30.0,0.361,0.006,0.952,False,7.0,-0.0068,0.429,10.0,0.915,"HBD,HMGB1,NCL,YBX1,REXO2",MSigDB_Hallmark_2020,heme Metabolism,6.248203367794541e-06,7/200,,,True,True,True,Erythroid,0.0,HIGH,0.4246713957268239,0.7442515108323873,0.97,0.788,1.193,0.7722382710533887,0.9719400717263436,-0.0021,False,"Ponatinib (AP24534),JNK Inhibitor II,Sorafenib",BMS-754807,-0.3061,0.269744567758487
A1_basin_edge_4,A1,63,9,54,7.0,HSC-like,0.444,,0.063,2,True,0.889,-20.623444444444445,26.49527777777778,8.860944444444446,-38.95433333333333,12.865388888888887,19.265555555555554,30.0,0.3284444444444444,0.004,0.8219444444444445,True,2.0,0.18815,0.5,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"GSK-2334470,blebbistatin,M2-PK-activator",,,
A1_basin_edge_1,A1,60,6,54,10.0,lateEry,1.0,,0.0,3,True,1.0,-20.623444444444445,26.49527777777778,8.860944444444446,-38.95433333333333,12.865388888888887,19.265555555555554,30.0,0.3284444444444444,0.004,0.8219444444444445,True,3.0,0.8139,0.667,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"GSK-2334470,blebbistatin,M2-PK-activator",,,
A3_L1_8,A3,54,54,0,1.0,cDC-like,0.333,cDC,0.556,13,False,0.352,-20.916,23.42,-10.997,-39.448,12.427,15.6,30.0,0.383,0.003,0.888,False,4.0,-0.13565,0.25,10.0,0.939,"HLA-DRA,HLA-DPA1,FLT3,TYROBP,CYBB",Reactome_2022,Immune System R-HSA-168256,8.371513286664978e-07,19/1943,,,False,True,True,pDC,0.0,HIGH,0.0163877767501031,0.3769188652523726,1.291,1.021,1.634,0.0330836769317786,0.7609245694309079,0.0141,True,"Venetoclax,AT-101,NVP-AEW541",Elesclomol,-0.2783,9.539445047976498e-07
A3_L1_14,A3,47,47,0,1.0,B,0.766,B,0.021,12,False,0.596,-19.252,30.799,-9.333,-19.683,12.97,18.36,30.0,0.29,0.002,0.714,False,5.0,-0.6384,0.4,10.0,1.0,"MS4A1,HLA-DRA,BIRC3,CD69,BANK1",KEGG_2021_Human,Hematopoietic cell lineage,4.9280066864039387e-08,7/99,,,,,,,,MODERATE,0.6607668900601837,0.8489231376422243,0.929,0.739,1.169,0.5311511188877223,0.9566288647243548,0.0071,False,"BRD-A73558769,PT-630,DG-041",,,
A0_L1_3,A0,44,44,0,1.0,GMP-like,0.227,HSPC,0.682,13,False,0.432,-19.15,26.268,8.626,-51.445,12.761,16.09,30.0,0.559,0.0,0.865,False,6.0,-1.23365,0.333,10.0,0.939,"MALAT1,RNA18S,RNA28S,LYZ,NEAT1",Reactome_2022,ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033,0.0016603709008915,2/11,,,,,,,,MODERATE,0.0808166743649349,0.6688663283741271,0.823,0.673,1.007,0.0587687699058688,0.901121138556656,-0.0007,False,"olaparib,TUL-XX023,BRD-K41790758",,,
A3_L1_15,A3,43,43,0,1.0,Prog-like,0.302,HSPC,0.628,13,False,0.581,-20.505,25.053,-10.586,-22.998,12.405,23.28,30.0,0.346,0.0,0.931,False,6.0,-0.7068,0.5,9.0,0.933,"HMGN2,CENPF,HMGB1,CALR,HSPA5",MSigDB_Hallmark_2020,G2-M Checkpoint,2.016296999646656e-11,11/200,,,,,,,,MODERATE,0.8838988486478541,0.9032582491121184,0.981,0.784,1.226,0.8640799056196133,0.9719400717263436,0.0008,False,"BRD-A73558769,PT-630,DG-041",,,
A1_L1_11,A1,42,42,0,1.0,Plasma,0.619,,0.024,8,False,0.905,-15.632,30.126,13.853,-50.335,16.439,22.9,30.0,0.33,0.001,0.933,False,6.0,1.80085,0.833,9.0,0.983,"IGLL5,HSP90B1,TXNDC5,SSR4,SEC11C",KEGG_2021_Human,Protein processing in endoplasmic reticulum,3.6653354322056645e-09,9/171,,,,,,,,MODERATE,0.7973432290799607,0.8921299954962588,0.908,0.713,1.157,0.4368695152314681,0.9566288647243548,0.0038,False,"GSK-2334470,blebbistatin,M2-PK-activator",,,
A2_L1_15,A2,33,33,0,1.0,Prog-like,0.515,,0.788,9,False,0.485,-20.203,26.962,-7.806,-25.342,12.745,20.59,30.0,0.36,0.002,0.943,False,4.0,-0.8642,0.5,10.0,0.976,"HMGB1,HMGN2,CENPF,RPLP0,BIRC5",MSigDB_Hallmark_2020,E2F Targets,7.339925224521433e-09,9/200,,,,,,,,MODERATE,0.2343303087235833,0.7442515108323873,1.066,0.857,1.326,0.5667240906047455,0.9566288647243548,0.0008,False,"BRD-K84924563,VER-155008,BRD-K89329876",,,
A2_L1_10,A2,30,30,0,1.0,Prog-like,0.333,HSPC,0.467,10,False,0.8,-21.56,24.028,-9.162,-27.956,11.912,26.69,30.0,0.24,0.003,0.748,False,4.0,-0.6543,0.25,10.0,0.891,"RNA18S,RNA28S,SNORA109,RNA5-8S,CDK6",Reactome_2022,Mitochondrial Translation Termination R-HSA-5419276,0.003777061498357,3/82,,,,,,,,MODERATE,0.7119656202665845,0.8489231376422243,1.034,0.841,1.27,0.7525595243945411,0.9719400717263436,-0.001,False,"BRD-K84924563,VER-155008,BRD-K89329876",,,
A1_L1_17,A1,28,28,0,1.0,T,0.321,,0.107,4,False,0.429,-20.623444444444445,26.49527777777778,8.860944444444446,-38.95433333333333,12.865388888888887,19.265555555555554,30.0,0.3284444444444444,0.004,0.8219444444444445,True,2.0,-0.6861,0.5,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"GSK-2334470,blebbistatin,M2-PK-activator",,,
A3_L1_12,A3,27,27,0,1.0,earlyEry,0.296,,0.333,9,False,0.444,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,11.820833333333333,21.67083333333333,29.87,0.2729999999999999,0.0030833333333333,0.7671666666666667,True,3.0,-0.4118,0.333,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-A73558769,PT-630,DG-041",,,
A2_L1_8,A2,26,26,0,1.0,cDC-like,0.385,HSPC,0.538,9,False,0.346,-21.10525,25.17575,-8.7075,-33.31675,12.7575,23.86375,30.0,0.36425,0.00275,0.898,True,3.0,1.8139,0.667,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-K84924563,VER-155008,BRD-K89329876",,,
A0_L1_17,A0,24,24,0,1.0,T,0.25,,0.417,8,False,0.417,-21.108,26.179125,6.668,-30.354,12.432125,15.855,30.0,0.660125,0.000375,0.827875,True,6.0,0.2201499999999999,0.5,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"olaparib,TUL-XX023,BRD-K41790758",,,
A1_L1_18,A1,18,18,0,1.0,ProB,0.222,,0.111,9,False,0.556,-20.623444444444445,26.49527777777778,8.860944444444446,-38.95433333333333,12.865388888888887,19.265555555555554,30.0,0.3284444444444444,0.004,0.8219444444444445,True,6.0,0.03995,0.5,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"GSK-2334470,blebbistatin,M2-PK-activator",,,
A0_L1_10,A0,18,18,0,1.0,T,0.222,HSPC,0.389,12,False,0.389,-21.108,26.179125,6.668,-30.354,12.432125,15.855,30.0,0.660125,0.000375,0.827875,True,5.0,0.1731,0.6,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"olaparib,TUL-XX023,BRD-K41790758",,,
A2_L1_6,A2,18,18,0,1.0,ProMono-like,0.278,ProMono,0.444,9,False,0.5,-21.10525,25.17575,-8.7075,-33.31675,12.7575,23.86375,30.0,0.36425,0.00275,0.898,True,3.0,0.5255,0.667,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-K84924563,VER-155008,BRD-K89329876",,,
A3_L1_16,A3,17,17,0,1.0,T,0.647,,0.0,4,False,0.882,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,11.820833333333333,21.67083333333333,29.87,0.2729999999999999,0.0030833333333333,0.7671666666666667,True,3.0,0.2025,0.667,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-A73558769,PT-630,DG-041",,,
A0_L1_14,A0,17,17,0,1.0,B,0.647,B,0.059,8,False,0.471,-21.108,26.179125,6.668,-30.354,12.432125,15.855,30.0,0.660125,0.000375,0.827875,True,4.0,0.08315,0.5,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"olaparib,TUL-XX023,BRD-K41790758",,,
A3_L1_6,A3,15,15,0,1.0,GMP,0.267,ProMono,0.4,5,False,0.4,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,11.820833333333333,21.67083333333333,29.87,0.2729999999999999,0.0030833333333333,0.7671666666666667,True,2.0,-0.70475,0.0,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-A73558769,PT-630,DG-041",,,
A0_L1_0,A0,14,14,0,1.0,cDC-like,0.643,GMP,0.786,7,False,0.286,-21.108,26.179125,6.668,-30.354,12.432125,15.855,30.0,0.660125,0.000375,0.827875,True,4.0,-0.5497,0.5,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"olaparib,TUL-XX023,BRD-K41790758",,,
A2_L1_14,A2,12,12,0,1.0,B,0.667,B,0.0,7,False,0.583,-21.10525,25.17575,-8.7075,-33.31675,12.7575,23.86375,30.0,0.36425,0.00275,0.898,True,2.0,0.3643499999999999,0.5,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-K84924563,VER-155008,BRD-K89329876",,,
A3_L1_2,A3,10,10,0,1.0,Mono,0.4,,0.5,5,False,0.4,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,11.820833333333333,21.67083333333333,29.87,0.2729999999999999,0.0030833333333333,0.7671666666666667,True,3.0,-0.9674,0.333,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-A73558769,PT-630,DG-041",,,
A2_L1_2,A2,10,10,0,1.0,GMP-like,0.3,HSPC,0.6,5,False,0.4,-21.10525,25.17575,-8.7075,-33.31675,12.7575,23.86375,30.0,0.36425,0.00275,0.898,True,3.0,-2.0852,0.0,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-K84924563,VER-155008,BRD-K89329876",,,
A0_L1_15,A0,9,9,0,1.0,cDC,0.333,ProMono,0.556,6,False,0.667,-21.108,26.179125,6.668,-30.354,12.432125,15.855,30.0,0.660125,0.000375,0.827875,True,3.0,-1.1861,0.333,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"olaparib,TUL-XX023,BRD-K41790758",,,
A2_L1_13,A2,9,9,0,1.0,lateEry,1.0,,0.0,7,False,0.556,-21.10525,25.17575,-8.7075,-33.31675,12.7575,23.86375,30.0,0.36425,0.00275,0.898,True,6.0,0.27935,0.667,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-K84924563,VER-155008,BRD-K89329876",,,
A0_L1_1,A0,8,8,0,1.0,T,0.625,,0.125,7,False,0.75,-21.108,26.179125,6.668,-30.354,12.432125,15.855,30.0,0.660125,0.000375,0.827875,True,6.0,0.04395,0.5,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"olaparib,TUL-XX023,BRD-K41790758",,,
A0_L1_7,A0,7,7,0,1.0,lateEry,0.714,,0.0,4,False,0.857,-21.108,26.179125,6.668,-30.354,12.432125,15.855,30.0,0.660125,0.000375,0.827875,True,3.0,0.8139,1.0,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"olaparib,TUL-XX023,BRD-K41790758",,,
A2_L1_16,A2,6,6,0,1.0,T,0.5,,0.0,3,False,0.833,-21.10525,25.17575,-8.7075,-33.31675,12.7575,23.86375,30.0,0.36425,0.00275,0.898,True,3.0,1.3988,0.667,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-K84924563,VER-155008,BRD-K89329876",,,
A1_basin_edge_2,A1,6,6,0,1.0,lateEry,1.0,,0.0,2,True,0.667,-20.623444444444445,26.49527777777778,8.860944444444446,-38.95433333333333,12.865388888888887,19.265555555555554,30.0,0.3284444444444444,0.004,0.8219444444444445,True,2.0,-1.72695,0.5,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"GSK-2334470,blebbistatin,M2-PK-activator",,,
A0_L1_5,A0,6,6,0,1.0,Mono,0.333,,0.333,5,False,0.5,-21.108,26.179125,6.668,-30.354,12.432125,15.855,30.0,0.660125,0.000375,0.827875,True,4.0,-0.57675,0.25,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"olaparib,TUL-XX023,BRD-K41790758",,,
A0_L1_12,A0,5,5,0,1.0,Mono,0.6,GMP,0.6,3,False,0.6,-21.108,26.179125,6.668,-30.354,12.432125,15.855,30.0,0.660125,0.000375,0.827875,True,1.0,0.0867,1.0,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"olaparib,TUL-XX023,BRD-K41790758",,,
A3_L1_11,A3,3,3,0,1.0,Plasma,0.667,,0.0,2,False,1.0,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,11.820833333333333,21.67083333333333,29.87,0.2729999999999999,0.0030833333333333,0.7671666666666667,True,2.0,-0.2338,0.0,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-A73558769,PT-630,DG-041",,,
A2_L1_1,A2,3,3,0,1.0,T,0.667,Erythroid,0.0,3,False,0.333,-21.10525,25.17575,-8.7075,-33.31675,12.7575,23.86375,30.0,0.36425,0.00275,0.898,True,1.0,-1.2234,0.0,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-K84924563,VER-155008,BRD-K89329876",,,
A3_L1_18,A3,2,2,0,1.0,HSC,0.5,,0.0,2,False,1.0,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,11.820833333333333,21.67083333333333,29.87,0.2729999999999999,0.0030833333333333,0.7671666666666667,True,2.0,1.3324,0.5,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-A73558769,PT-630,DG-041",,,
A2_L1_11,A2,2,2,0,1.0,Plasma,0.5,ProMono,0.0,2,False,0.5,-21.10525,25.17575,-8.7075,-33.31675,12.7575,23.86375,30.0,0.36425,0.00275,0.898,True,1.0,0.8139,1.0,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-K84924563,VER-155008,BRD-K89329876",,,
A2_L1_5,A2,2,2,0,1.0,NK,0.5,HSPC,0.0,2,False,0.5,-21.10525,25.17575,-8.7075,-33.31675,12.7575,23.86375,30.0,0.36425,0.00275,0.898,True,,,,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-K84924563,VER-155008,BRD-K89329876",,,
A0_L1_16,A0,1,1,0,1.0,CTL,1.0,,0.0,1,False,1.0,-21.108,26.179125,6.668,-30.354,12.432125,15.855,30.0,0.660125,0.000375,0.827875,True,1.0,0.1731,1.0,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"olaparib,TUL-XX023,BRD-K41790758",,,
A2_L1_18,A2,1,1,0,1.0,,1.0,GMP,0.0,1,False,1.0,-21.10525,25.17575,-8.7075,-33.31675,12.7575,23.86375,30.0,0.36425,0.00275,0.898,True,,,,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-K84924563,VER-155008,BRD-K89329876",,,
A3_L1_17,A3,1,1,0,1.0,T,1.0,,0.0,1,False,1.0,-22.136166666666668,25.044083333333333,-12.216916666666668,-33.38233333333333,11.820833333333333,21.67083333333333,29.87,0.2729999999999999,0.0030833333333333,0.7671666666666667,True,1.0,0.1731,1.0,,,,,,,,,,,,,,,EXPLORATORY,,,,,,,,,,"BRD-A73558769,PT-630,DG-041",,,
