gene,rf_importance
CFD,0.054501504182299376
FLT3,0.030801400191964225
TYROBP,0.029223789668135658
HLA-DRA,0.026697382211327406
GAPDH,0.025790742805019067
HLA-DPA1,0.022280527550730664
AIF1,0.02220471985526639
IL7R,0.021640790465375898
SYNE2,0.02140313026449886
AREG,0.019372806789307664
LGALS1,0.018049630897310785
APOOL,0.01322227429571068
HBB,0.013019069308057359
LST1,0.012371736129561595
CST3,0.012313976348372642
ANGPT1,0.011411680001684858
GUCY1A3,0.01109805797280257
SLFN5,0.010721841297335874
PLEK,0.00970605880458257
SRGN,0.009304858405102158
FAM46A,0.008923505984729732
CAT,0.008413028287580457
LYZ,0.008346006776755488
GIMAP7,0.008262108397531755
CSTA,0.007857593351179101
