state_id,HR_per_SD,HR_CI_low,HR_CI_high,cox_p,C_index_full,C_index_cov_only,delta_C_index,independent,cox_q
A1_L1_8,1.31,1.039,1.652,0.02218873328144579,0.688,0.669,0.0186,True,0.7609245694309079
A3_L1_8,1.291,1.021,1.634,0.033083676931778605,0.683,0.669,0.0141,True,0.7609245694309079
A0_L1_3,0.823,0.673,1.007,0.05876876990586887,0.669,0.669,-0.0007,False,0.9011211385566561
A0_L1_8,1.202,0.976,1.481,0.0834205854143809,0.677,0.669,0.0082,False,0.9566288647243549
A0_L1_2,1.161,0.945,1.426,0.15522482035549287,0.672,0.669,0.0023,False,0.9566288647243549
A1_L1_0,1.159,0.944,1.422,0.15846623892353637,0.671,0.669,0.002,False,0.9566288647243549
A3_L1_0,1.152,0.94,1.413,0.17286222003369167,0.67,0.669,0.0011,False,0.9566288647243549
A1_L1_13,0.87,0.698,1.084,0.21552476458052444,0.675,0.669,0.0056,False,0.9566288647243549
A3_L1_13,0.891,0.716,1.109,0.3016372383180461,0.673,0.669,0.0036,False,0.9566288647243549
A2_L1_12,0.897,0.729,1.105,0.3069488442315493,0.672,0.669,0.003,False,0.9566288647243549
A0_L1_4,1.115,0.899,1.382,0.32121629286494663,0.674,0.669,0.0044,False,0.9566288647243549
A0_L1_9,1.097,0.897,1.341,0.3687564393052474,0.675,0.669,0.0059,False,0.9566288647243549
A0_L1_13,0.903,0.719,1.134,0.3790410078889416,0.676,0.669,0.0071,False,0.9566288647243549
A1_L1_2,1.094,0.895,1.337,0.3798387331251527,0.669,0.669,0.0002,False,0.9566288647243549
A0_L1_11,0.898,0.699,1.152,0.39589392014347424,0.671,0.669,0.002,False,0.9566288647243549
A0_L1_6,1.089,0.889,1.332,0.4103997678347088,0.674,0.669,0.0043,False,0.9566288647243549
A2_L1_0,1.087,0.881,1.343,0.4357721568001438,0.668,0.669,-0.0015,False,0.9566288647243549
A1_L1_11,0.908,0.713,1.157,0.4368695152314681,0.673,0.669,0.0038,False,0.9566288647243549
A2_L1_4,1.088,0.868,1.364,0.46461354005172384,0.669,0.669,0.0002,False,0.9566288647243549
A3_L1_10,0.927,0.749,1.146,0.4820655408124902,0.673,0.669,0.0039,False,0.9566288647243549
A2_L1_3,0.932,0.757,1.149,0.5107720884842517,0.671,0.669,0.0021,False,0.9566288647243549
A1_L1_4,1.075,0.858,1.347,0.5281953709811456,0.67,0.669,0.0007,False,0.9566288647243549
A3_L1_14,0.929,0.739,1.169,0.5311511188877223,0.676,0.669,0.0071,False,0.9566288647243549
A3_L1_9,1.069,0.864,1.323,0.5383372451784558,0.674,0.669,0.0053,False,0.9566288647243549
A2_L1_15,1.066,0.857,1.326,0.5667240906047455,0.67,0.669,0.0008,False,0.9566288647243549
A3_L1_4,1.064,0.849,1.333,0.5899890945853542,0.67,0.669,0.0008,False,0.9566288647243549
A1_L1_6,1.058,0.858,1.304,0.6000912586936684,0.672,0.669,0.0031,False,0.9566288647243549
A1_L1_7,0.948,0.771,1.166,0.6142235545904462,0.667,0.669,-0.0025,False,0.9566288647243549
A3_L1_1,0.945,0.756,1.181,0.6194023836478831,0.675,0.669,0.0057,False,0.9566288647243549
A3_L1_7,0.951,0.772,1.173,0.6411706834171669,0.669,0.669,-0.0007,False,0.9566288647243549
A1_L1_1,0.949,0.761,1.184,0.6446846697055435,0.674,0.669,0.0049,False,0.9566288647243549
A1_L1_14,1.049,0.834,1.32,0.6829856687101254,0.663,0.669,-0.0059,False,0.9719400717263437
A2_L1_10,1.034,0.841,1.27,0.7525595243945411,0.668,0.669,-0.001,False,0.9719400717263437
A1_L1_12,1.033,0.841,1.269,0.7553732557491266,0.669,0.669,0.0,False,0.9719400717263437
A3_L1_3,0.968,0.784,1.196,0.7630540667105888,0.672,0.669,0.003,False,0.9719400717263437
A2_L1_7,0.97,0.788,1.193,0.7722382710533887,0.667,0.669,-0.0021,False,0.9719400717263437
A1_basin_edge_0,1.03,0.836,1.269,0.7829260594859153,0.67,0.669,0.0003,False,0.9719400717263437
A1_L1_9,0.974,0.79,1.202,0.8086610802326685,0.668,0.669,-0.0011,False,0.9719400717263437
A1_L1_5,1.022,0.82,1.276,0.8438592096771569,0.669,0.669,-0.0007,False,0.9719400717263437
A3_L1_15,0.981,0.784,1.226,0.8640799056196133,0.67,0.669,0.0008,False,0.9719400717263437
A2_L1_9,0.982,0.793,1.217,0.8694536630438903,0.668,0.669,-0.0015,False,0.9719400717263437
A1_L1_16,1.015,0.813,1.268,0.894608872448574,0.668,0.669,-0.001,False,0.9719400717263437
A1_L1_3,1.013,0.818,1.253,0.9085526757441909,0.669,0.669,0.0,False,0.9719400717263437
A1_L1_10,1.008,0.817,1.244,0.9410950884458174,0.667,0.669,-0.0026,False,0.982955145284546
A3_L1_5,1.003,0.806,1.247,0.9815813532022049,0.667,0.669,-0.0021,False,0.982955145284546
A1_L1_15,1.002,0.802,1.254,0.982955145284546,0.669,0.669,-0.0003,False,0.982955145284546
